Code,SearchName,Location
RWK,The Raweekanlaya Bangkok Wellness Cuisine resort,Bangkok
TSB,The Tantawan Hotel Surawong Bangkok,Bangkok
PLB,Imm Hotel Ladprao Bangkapi Bangkok,Bangkok
IRH,Imperial River House Resort,Chiang Rai
IMH,Imperial Mae Hongsorn Hotel,Mae Hong Son
IMC,Imperial Chiang Mai Resort and Sport Club,Chiang Mai
CHH,CH Hotel Chiang Mai,Chiang Mai
ITC,Imm Hotel Thapae,Chiang Mai
IPK,Imperial Phukaew Hill Resort Petchabun,Petchabun
IPL,Imperial Hotel Convention Center Phitsanulok,Phitsanulok
IMK,Imperial Hotel Convention Center Korat,Nakhon Ratchasima
INT,Imperial Narathiwat Hotel,Narathiwat
IUV,Imperial Urban Villas Chiang Mai,Chiang Mai
RWC,Raweekanlaya Wellness Cuisine Resort,Chiang Mai
IBC,Imperial Beachfront Resort Cha-am,Petchaburi
